ADA-USD,ADA-USD1,ADA-USD2,ADA-USD3,ADA-USD4,ADA-USD5,BTC-USD,BTC-USD1,BTC-USD2,BTC-USD3,BTC-USD4,BTC-USD5,ETH-USD,ETH-USD1,ETH-USD2,ETH-USD3,ETH-USD4,ETH-USD5,Unnamed: 0,_id,index
Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,NaN,60fdbae9b9153bc55f2a9be1,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Datetime,60fdbae9b9153bc55f2a9be2,1
1.4228185415267944,1.4228185415267944,1.4228185415267944,1.4228185415267944,1.4228185415267944,0.0,34568.28125,34568.28125,34568.28125,34568.28125,34568.28125,0.0,2351.01171875,2351.01171875,2351.01171875,2351.01171875,2351.01171875,0.0,2021-07-07 18:11:00+01:00,60fdbae9b9153bc55f2ab058,5239
1.421641230583191,1.421641230583191,1.421641230583191,1.421641230583191,1.421641230583191,0.0,34566.0859375,34566.0859375,34566.0859375,34566.0859375,34566.0859375,0.0,2352.043212890625,2352.043212890625,2352.043212890625,2352.043212890625,2352.043212890625,0.0,2021-07-07 18:12:00+01:00,60fdbae9b9153bc55f2ab059,5240
1.4221495389938354,1.4221495389938354,1.4221495389938354,1.4221495389938354,1.4221495389938354,0.0,34559.34765625,34559.34765625,34559.34765625,34559.34765625,34559.34765625,0.0,2353.925537109375,2353.925537109375,2353.925537109375,2353.925537109375,2353.925537109375,0.0,2021-07-07 18:13:00+01:00,60fdbae9b9153bc55f2ab05a,5241
1.423472285270691,1.423472285270691,1.423472285270691,1.423472285270691,1.423472285270691,0.0,34583.42578125,34583.42578125,34583.42578125,34583.42578125,34583.42578125,0.0,2356.3759765625,2356.3759765625,2356.3759765625,2356.3759765625,2356.3759765625,0.0,2021-07-07 18:14:00+01:00,60fdbae9b9153bc55f2ab05b,5242
1.4232609272003174,1.4232609272003174,1.4232609272003174,1.4232609272003174,1.4232609272003174,0.0,34595.75,34595.75,34595.75,34595.75,34595.75,116736.0,2356.29052734375,2356.29052734375,2356.29052734375,2356.29052734375,2356.29052734375,1875968.0,2021-07-07 18:15:00+01:00,60fdbae9b9153bc55f2ab05c,5243
1.4222875833511353,1.4222875833511353,1.4222875833511353,1.4222875833511353,1.4222875833511353,0.0,34590.1171875,34590.1171875,34590.1171875,34590.1171875,34590.1171875,0.0,2354.836181640625,2354.836181640625,2354.836181640625,2354.836181640625,2354.836181640625,0.0,2021-07-07 18:18:00+01:00,60fdbae9b9153bc55f2ab05d,5244
1.4220315217971802,1.4220315217971802,1.4220315217971802,1.4220315217971802,1.4220315217971802,0.0,34563.0078125,34563.0078125,34563.0078125,34563.0078125,34563.0078125,0.0,2354.218994140625,2354.218994140625,2354.218994140625,2354.218994140625,2354.218994140625,0.0,2021-07-07 18:19:00+01:00,60fdbae9b9153bc55f2ab05e,5245
1.4215905666351318,1.4215905666351318,1.4215905666351318,1.4215905666351318,1.4215905666351318,0.0,34548.8125,34548.8125,34548.8125,34548.8125,34548.8125,0.0,2353.135986328125,2353.135986328125,2353.135986328125,2353.135986328125,2353.135986328125,0.0,2021-07-07 18:20:00+01:00,60fdbae9b9153bc55f2ab05f,5246
1.4211349487304688,1.4211349487304688,1.4211349487304688,1.4211349487304688,1.4211349487304688,0.0,34531.7265625,34531.7265625,34531.7265625,34531.7265625,34531.7265625,0.0,2352.26904296875,2352.26904296875,2352.26904296875,2352.26904296875,2352.26904296875,0.0,2021-07-07 18:21:00+01:00,60fdbae9b9153bc55f2ab060,5247
1.4215915203094482,1.4215915203094482,1.4215915203094482,1.4215915203094482,1.4215915203094482,0.0,34546.67578125,34546.67578125,34546.67578125,34546.67578125,34546.67578125,0.0,2353.57080078125,2353.57080078125,2353.57080078125,2353.57080078125,2353.57080078125,0.0,2021-07-07 18:22:00+01:00,60fdbae9b9153bc55f2ab061,5248
1.4205514192581177,1.4205514192581177,1.4205514192581177,1.4205514192581177,1.4205514192581177,0.0,34525.17578125,34525.17578125,34525.17578125,34525.17578125,34525.17578125,0.0,2351.42822265625,2351.42822265625,2351.42822265625,2351.42822265625,2351.42822265625,0.0,2021-07-07 18:23:00+01:00,60fdbae9b9153bc55f2ab062,5249
1.4203206300735474,1.4203206300735474,1.4203206300735474,1.4203206300735474,1.4203206300735474,0.0,34521.58984375,34521.58984375,34521.58984375,34521.58984375,34521.58984375,0.0,2352.5341796875,2352.5341796875,2352.5341796875,2352.5341796875,2352.5341796875,0.0,2021-07-07 18:26:00+01:00,60fdbae9b9153bc55f2ab063,5250
1.420419454574585,1.420419454574585,1.420419454574585,1.420419454574585,1.420419454574585,0.0,34518.9921875,34518.9921875,34518.9921875,34518.9921875,34518.9921875,0.0,2352.48583984375,2352.48583984375,2352.48583984375,2352.48583984375,2352.48583984375,0.0,2021-07-07 18:27:00+01:00,60fdbae9b9153bc55f2ab064,5251
1.4202479124069214,1.4202479124069214,1.4202479124069214,1.4202479124069214,1.4202479124069214,0.0,34514.86328125,34514.86328125,34514.86328125,34514.86328125,34514.86328125,0.0,2352.211669921875,2352.211669921875,2352.211669921875,2352.211669921875,2352.211669921875,0.0,2021-07-07 18:28:00+01:00,60fdbae9b9153bc55f2ab065,5252
1.4203907251358032,1.4203907251358032,1.4203907251358032,1.4203907251358032,1.4203907251358032,0.0,34515.97265625,34515.97265625,34515.97265625,34515.97265625,34515.97265625,0.0,2351.989501953125,2351.989501953125,2351.989501953125,2351.989501953125,2351.989501953125,0.0,2021-07-07 18:29:00+01:00,60fdbae9b9153bc55f2ab066,5253
1.4207130670547485,1.4207130670547485,1.4207130670547485,1.4207130670547485,1.4207130670547485,0.0,34509.88671875,34509.88671875,34509.88671875,34509.88671875,34509.88671875,0.0,2351.365478515625,2351.365478515625,2351.365478515625,2351.365478515625,2351.365478515625,0.0,2021-07-07 18:30:00+01:00,60fdbae9b9153bc55f2ab067,5254
1.4192602634429932,1.4192602634429932,1.4192602634429932,1.4192602634429932,1.4192602634429932,0.0,34500.796875,34500.796875,34500.796875,34500.796875,34500.796875,0.0,2350.027587890625,2350.027587890625,2350.027587890625,2350.027587890625,2350.027587890625,0.0,2021-07-07 18:31:00+01:00,60fdbae9b9153bc55f2ab068,5255
1.418735384941101,1.418735384941101,1.418735384941101,1.418735384941101,1.418735384941101,0.0,34491.203125,34491.203125,34491.203125,34491.203125,34491.203125,0.0,2347.7333984375,2347.7333984375,2347.7333984375,2347.7333984375,2347.7333984375,0.0,2021-07-07 18:34:00+01:00,60fdbae9b9153bc55f2ab069,5256
1.4202148914337158,1.4202148914337158,1.4202148914337158,1.4202148914337158,1.4202148914337158,305664.0,34499.66796875,34499.66796875,34499.66796875,34499.66796875,34499.66796875,1445888.0,2349.66796875,2349.66796875,2349.66796875,2349.66796875,2349.66796875,2148352.0,2021-07-07 18:35:00+01:00,60fdbae9b9153bc55f2ab06a,5257
1.4217761754989624,1.4217761754989624,1.4217761754989624,1.4217761754989624,1.4217761754989624,391936.0,34533.60546875,34533.60546875,34533.60546875,34533.60546875,34533.60546875,5758976.0,2351.92041015625,2351.92041015625,2351.92041015625,2351.92041015625,2351.92041015625,5435392.0,2021-07-07 18:36:00+01:00,60fdbae9b9153bc55f2ab06b,5258
1.4217157363891602,1.4217157363891602,1.4217157363891602,1.4217157363891602,1.4217157363891602,0.0,34548.2109375,34548.2109375,34548.2109375,34548.2109375,34548.2109375,0.0,2352.9150390625,2352.9150390625,2352.9150390625,2352.9150390625,2352.9150390625,0.0,2021-07-07 18:37:00+01:00,60fdbae9b9153bc55f2ab06c,5259
1.4212452173233032,1.4212452173233032,1.4212452173233032,1.4212452173233032,1.4212452173233032,65792.0,34539.35546875,34539.35546875,34539.35546875,34539.35546875,34539.35546875,3655680.0,2352.17138671875,2352.17138671875,2352.17138671875,2352.17138671875,2352.17138671875,3106816.0,2021-07-07 18:38:00+01:00,60fdbae9b9153bc55f2ab06d,5260
1.4214760065078735,1.4214760065078735,1.4214760065078735,1.4214760065078735,1.4214760065078735,0.0,34531.96875,34531.96875,34531.96875,34531.96875,34531.96875,0.0,2350.544921875,2350.544921875,2350.544921875,2350.544921875,2350.544921875,0.0,2021-07-07 18:39:00+01:00,60fdbae9b9153bc55f2ab06e,5261
1.418844223022461,1.418844223022461,1.418844223022461,1.418844223022461,1.418844223022461,638208.0,34531.25,34531.25,34531.25,34531.25,34531.25,0.0,2349.531005859375,2349.531005859375,2349.531005859375,2349.531005859375,2349.531005859375,0.0,2021-07-07 18:42:00+01:00,60fdbae9b9153bc55f2ab06f,5262
1.416939616203308,1.416939616203308,1.416939616203308,1.416939616203308,1.416939616203308,1315072.0,34535.09765625,34535.09765625,34535.09765625,34535.09765625,34535.09765625,0.0,2349.99609375,2349.99609375,2349.99609375,2349.99609375,2349.99609375,0.0,2021-07-07 18:43:00+01:00,60fdbae9b9153bc55f2ab070,5263
1.4170498847961426,1.4170498847961426,1.4170498847961426,1.4170498847961426,1.4170498847961426,320000.0,34533.09765625,34533.09765625,34533.09765625,34533.09765625,34533.09765625,0.0,2349.176025390625,2349.176025390625,2349.176025390625,2349.176025390625,2349.176025390625,0.0,2021-07-07 18:44:00+01:00,60fdbae9b9153bc55f2ab071,5264
1.4178240299224854,1.4178240299224854,1.4178240299224854,1.4178240299224854,1.4178240299224854,163968.0,34542.17578125,34542.17578125,34542.17578125,34542.17578125,34542.17578125,0.0,2350.308837890625,2350.308837890625,2350.308837890625,2350.308837890625,2350.308837890625,0.0,2021-07-07 18:45:00+01:00,60fdbae9b9153bc55f2ab072,5265
1.417575478553772,1.417575478553772,1.417575478553772,1.417575478553772,1.417575478553772,3466752.0,34534.85546875,34534.85546875,34534.85546875,34534.85546875,34534.85546875,3635200.0,2350.195556640625,2350.195556640625,2350.195556640625,2350.195556640625,2350.195556640625,0.0,2021-07-07 18:46:00+01:00,60fdbae9b9153bc55f2ab073,5266
1.418837547302246,1.418837547302246,1.418837547302246,1.418837547302246,1.418837547302246,269440.0,34559.34375,34559.34375,34559.34375,34559.34375,34559.34375,653312.0,2352.15478515625,2352.15478515625,2352.15478515625,2352.15478515625,2352.15478515625,2584576.0,2021-07-07 18:47:00+01:00,60fdbae9b9153bc55f2ab074,5267
1.4216691255569458,1.4216691255569458,1.4216691255569458,1.4216691255569458,1.4216691255569458,322560.0,34660.70703125,34660.70703125,34660.70703125,34660.70703125,34660.70703125,34953216.0,2359.56201171875,2359.56201171875,2359.56201171875,2359.56201171875,2359.56201171875,46960640.0,2021-07-07 18:50:00+01:00,60fdbae9b9153bc55f2ab075,5268
1.4214445352554321,1.4214445352554321,1.4214445352554321,1.4214445352554321,1.4214445352554321,0.0,34649.046875,34649.046875,34649.046875,34649.046875,34649.046875,0.0,2358.923095703125,2358.923095703125,2358.923095703125,2358.923095703125,2358.923095703125,0.0,2021-07-07 18:51:00+01:00,60fdbae9b9153bc55f2ab076,5269
